"Statistic Label","Year","Partner Region","Trade Flow","Type of Ownership","NACE Rev 2 Activity","UNIT","VALUE"
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled with own affiliates abroad","Agriculture, forestry and fishing (A)","Euro Thousand","80682.335"
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled with own affiliates abroad","Agriculture, Forestry & Fishing, Construction and Services, excluding Retail & Wholesale (A, F, H -U)","Euro Thousand","1439790.669"
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled with own affiliates abroad","Mining and quarrying (B)","Euro Thousand","13272.851"
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled with own affiliates abroad","Industry (B - E)","Euro Thousand","1681855.24"
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled with own affiliates abroad","Manufacturing (C)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled with own affiliates abroad","Food products (C10)","Euro Thousand","469487.825"
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled with own affiliates abroad","Beverages (C11)","Euro Thousand","46050.257"
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled with own affiliates abroad","Tobacco products (C12)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled with own affiliates abroad","Textiles (C13)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled with own affiliates abroad","Wearing apparel (C14)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled with own affiliates abroad","Leather and related products (C15)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled with own affiliates abroad","Wood and wood products, except furniture (C16)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled with own affiliates abroad","Paper and paper products (C17)","Euro Thousand","46802.87"
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled with own affiliates abroad","Printing and reproduction of recorded media (C18)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled with own affiliates abroad","Coke and refined petroleum products (C19)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled with own affiliates abroad","Chemicals and chemical products (C20)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled with own affiliates abroad","Basic pharmaceutical products and preparations (C21)","Euro Thousand","153937.586"
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled with own affiliates abroad","Rubber and plastic products (C22)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled with own affiliates abroad","Other non-metallic mineral products (C23)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled with own affiliates abroad","Basic metals (C24)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled with own affiliates abroad","Fabricated metal products, except machinery and equipment (C25)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled with own affiliates abroad","Computer, electronic and optical products (C26)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled with own affiliates abroad","Electrical equipment (C27)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled with own affiliates abroad","Machinery and equipment n.e.c. (C28)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled with own affiliates abroad","Motor vehicles, trailers and semi-trailers (C29)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled with own affiliates abroad","Other transport equipment (C30)","Euro Thousand","4018.097"
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled with own affiliates abroad","Furniture (C31)","Euro Thousand","16797.677"
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled with own affiliates abroad","Other manufacturing (C32)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled with own affiliates abroad","Repair and installation of machinery and equipment (C33)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled with own affiliates abroad","Electricity, gas, steam and air conditioning supply (D)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled with own affiliates abroad","Water supply; sewerage, waste management and remediation activities (E)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled with own affiliates abroad","Construction (F)","Euro Thousand","190071.373"
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled with own affiliates abroad","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro Thousand","5017917.765"
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled with own affiliates abroad","Wholesale and retail trade and repair of motor vehicles and motorcycles (G45)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled with own affiliates abroad","Wholesale trade, except of motor vehicles and motorcycles (G46)","Euro Thousand","3452867.581"
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled with own affiliates abroad","Retail trade, except of motor vehicles and motorcycles (G47)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled with own affiliates abroad","Transportation and storage (H)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled with own affiliates abroad","Accommodation and Food and Other Services (I, OTU)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled with own affiliates abroad","Information and communication (J)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled with own affiliates abroad","Financial and insurance activities (K)","Euro Thousand","274786.961"
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled with own affiliates abroad","Real estate activities (L)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled with own affiliates abroad","Professional, scientific and technical activities (M)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled with own affiliates abroad","Administrative and support service activities (N)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled with own affiliates abroad","Unknown","Euro Thousand","0"
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled with own affiliates abroad","Total Trade in Goods","Euro Thousand","8139563.674"
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled without own affiliates abroad","Agriculture, forestry and fishing (A)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled without own affiliates abroad","Agriculture, Forestry & Fishing, Construction and Services, excluding Retail & Wholesale (A, F, H -U)","Euro Thousand","160535.256"
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled without own affiliates abroad","Mining and quarrying (B)","Euro Thousand","0"
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled without own affiliates abroad","Industry (B - E)","Euro Thousand","169112.327"
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled without own affiliates abroad","Manufacturing (C)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled without own affiliates abroad","Food products (C10)","Euro Thousand","25867.515"
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled without own affiliates abroad","Beverages (C11)","Euro Thousand","0"
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled without own affiliates abroad","Tobacco products (C12)","Euro Thousand","0"
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled without own affiliates abroad","Textiles (C13)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled without own affiliates abroad","Wearing apparel (C14)","Euro Thousand","0"
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled without own affiliates abroad","Leather and related products (C15)","Euro Thousand","0"
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled without own affiliates abroad","Wood and wood products, except furniture (C16)","Euro Thousand","0"
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled without own affiliates abroad","Paper and paper products (C17)","Euro Thousand","0"
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled without own affiliates abroad","Printing and reproduction of recorded media (C18)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled without own affiliates abroad","Coke and refined petroleum products (C19)","Euro Thousand","0"
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled without own affiliates abroad","Chemicals and chemical products (C20)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled without own affiliates abroad","Basic pharmaceutical products and preparations (C21)","Euro Thousand","0"
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled without own affiliates abroad","Rubber and plastic products (C22)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled without own affiliates abroad","Other non-metallic mineral products (C23)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled without own affiliates abroad","Basic metals (C24)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled without own affiliates abroad","Fabricated metal products, except machinery and equipment (C25)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled without own affiliates abroad","Computer, electronic and optical products (C26)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled without own affiliates abroad","Electrical equipment (C27)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled without own affiliates abroad","Machinery and equipment n.e.c. (C28)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled without own affiliates abroad","Motor vehicles, trailers and semi-trailers (C29)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled without own affiliates abroad","Other transport equipment (C30)","Euro Thousand","0"
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled without own affiliates abroad","Furniture (C31)","Euro Thousand","0"
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled without own affiliates abroad","Other manufacturing (C32)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled without own affiliates abroad","Repair and installation of machinery and equipment (C33)","Euro Thousand","0"
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled without own affiliates abroad","Electricity, gas, steam and air conditioning supply (D)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled without own affiliates abroad","Water supply; sewerage, waste management and remediation activities (E)","Euro Thousand","0"
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled without own affiliates abroad","Construction (F)","Euro Thousand","1307.765"
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled without own affiliates abroad","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro Thousand","185791.541"
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled without own affiliates abroad","Wholesale and retail trade and repair of motor vehicles and motorcycles (G45)","Euro Thousand",""
