"Statistic Label","Year","Partner Region","Trade Flow","Type of Ownership","NACE Rev 2 Activity","UNIT","VALUE"
"Value","2021","Total Trade in Goods","Imports","Foreign controlled","Manufacturing (C)","Euro Thousand","30981706.391"
"Value","2021","Total Trade in Goods","Imports","Foreign controlled","Food products (C10)","Euro Thousand","1433892.909"
"Value","2021","Total Trade in Goods","Imports","Foreign controlled","Beverages (C11)","Euro Thousand","276241.464"
"Value","2021","Total Trade in Goods","Imports","Foreign controlled","Tobacco products (C12)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Imports","Foreign controlled","Textiles (C13)","Euro Thousand","34063.81"
"Value","2021","Total Trade in Goods","Imports","Foreign controlled","Wearing apparel (C14)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Imports","Foreign controlled","Leather and related products (C15)","Euro Thousand",""
"Value","2021","Total Trade in Goods","Imports","Foreign controlled","Wood and wood products, except furniture (C16)","Euro Thousand","12251.193"
"Value","2021","Total Trade in Goods","Imports","Foreign controlled","Paper and paper products (C17)","Euro Thousand","69056.672"
"Value","2021","Total Trade in Goods","Imports","Foreign controlled","Printing and reproduction of recorded media (C18)","Euro Thousand","81340.281"
"Value","2021","Total Trade in Goods","Imports","Foreign controlled","Coke and refined petroleum products (C19)","Euro Thousand",""
"Value","2021","Total Trade in Goods","Imports","Foreign controlled","Chemicals and chemical products (C20)","Euro Thousand","7398535.856"
"Value","2021","Total Trade in Goods","Imports","Foreign controlled","Basic pharmaceutical products and preparations (C21)","Euro Thousand","8782125.072"
"Value","2021","Total Trade in Goods","Imports","Foreign controlled","Rubber and plastic products (C22)","Euro Thousand","669468.46"
"Value","2021","Total Trade in Goods","Imports","Foreign controlled","Other non-metallic mineral products (C23)","Euro Thousand","176082.753"
"Value","2021","Total Trade in Goods","Imports","Foreign controlled","Basic metals (C24)","Euro Thousand","317195.788"
"Value","2021","Total Trade in Goods","Imports","Foreign controlled","Fabricated metal products, except machinery and equipment (C25)","Euro Thousand","248077.506"
"Value","2021","Total Trade in Goods","Imports","Foreign controlled","Computer, electronic and optical products (C26)","Euro Thousand","6088148.462"
"Value","2021","Total Trade in Goods","Imports","Foreign controlled","Electrical equipment (C27)","Euro Thousand","144755.877"
"Value","2021","Total Trade in Goods","Imports","Foreign controlled","Machinery and equipment n.e.c. (C28)","Euro Thousand","569476.335"
"Value","2021","Total Trade in Goods","Imports","Foreign controlled","Motor vehicles, trailers and semi-trailers (C29)","Euro Thousand","236910.893"
"Value","2021","Total Trade in Goods","Imports","Foreign controlled","Other transport equipment (C30)","Euro Thousand",""
"Value","2021","Total Trade in Goods","Imports","Foreign controlled","Furniture (C31)","Euro Thousand","53779.537"
"Value","2021","Total Trade in Goods","Imports","Foreign controlled","Other manufacturing (C32)","Euro Thousand","2236055.823"
"Value","2021","Total Trade in Goods","Imports","Foreign controlled","Repair and installation of machinery and equipment (C33)","Euro Thousand","575096.1"
"Value","2021","Total Trade in Goods","Imports","Foreign controlled","Electricity, gas, steam and air conditioning supply (D)","Euro Thousand",""
"Value","2021","Total Trade in Goods","Imports","Foreign controlled","Water supply; sewerage, waste management and remediation activities (E)","Euro Thousand",""
"Value","2021","Total Trade in Goods","Imports","Foreign controlled","Construction (F)","Euro Thousand","169289.685"
"Value","2021","Total Trade in Goods","Imports","Foreign controlled","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro Thousand","20359127.225"
"Value","2021","Total Trade in Goods","Imports","Foreign controlled","Wholesale and retail trade and repair of motor vehicles and motorcycles (G45)","Euro Thousand","2190385.964"
"Value","2021","Total Trade in Goods","Imports","Foreign controlled","Wholesale trade, except of motor vehicles and motorcycles (G46)","Euro Thousand","13664661.097"
"Value","2021","Total Trade in Goods","Imports","Foreign controlled","Retail trade, except of motor vehicles and motorcycles (G47)","Euro Thousand","4504080.164"
"Value","2021","Total Trade in Goods","Imports","Foreign controlled","Transportation and storage (H)","Euro Thousand",""
"Value","2021","Total Trade in Goods","Imports","Foreign controlled","Accommodation and Food and Other Services (I, OTU)","Euro Thousand",""
"Value","2021","Total Trade in Goods","Imports","Foreign controlled","Information and communication (J)","Euro Thousand","1114009.689"
"Value","2021","Total Trade in Goods","Imports","Foreign controlled","Financial and insurance activities (K)","Euro Thousand","1089947.378"
"Value","2021","Total Trade in Goods","Imports","Foreign controlled","Real estate activities (L)","Euro Thousand",""
"Value","2021","Total Trade in Goods","Imports","Foreign controlled","Professional, scientific and technical activities (M)","Euro Thousand","897714.161"
"Value","2021","Total Trade in Goods","Imports","Foreign controlled","Administrative and support service activities (N)","Euro Thousand","13641917.938"
"Value","2021","Total Trade in Goods","Imports","Foreign controlled","Unknown","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Imports","Foreign controlled","Total Trade in Goods","Euro Thousand","69751348.132"
"Value","2021","Total Trade in Goods","Imports","Ownership unknown","Agriculture, forestry and fishing (A)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Imports","Ownership unknown","Agriculture, Forestry & Fishing, Construction and Services, excluding Retail & Wholesale (A, F, H -U)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Imports","Ownership unknown","Mining and quarrying (B)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Imports","Ownership unknown","Industry (B - E)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Imports","Ownership unknown","Manufacturing (C)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Imports","Ownership unknown","Food products (C10)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Imports","Ownership unknown","Beverages (C11)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Imports","Ownership unknown","Tobacco products (C12)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Imports","Ownership unknown","Textiles (C13)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Imports","Ownership unknown","Wearing apparel (C14)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Imports","Ownership unknown","Leather and related products (C15)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Imports","Ownership unknown","Wood and wood products, except furniture (C16)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Imports","Ownership unknown","Paper and paper products (C17)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Imports","Ownership unknown","Printing and reproduction of recorded media (C18)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Imports","Ownership unknown","Coke and refined petroleum products (C19)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Imports","Ownership unknown","Chemicals and chemical products (C20)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Imports","Ownership unknown","Basic pharmaceutical products and preparations (C21)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Imports","Ownership unknown","Rubber and plastic products (C22)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Imports","Ownership unknown","Other non-metallic mineral products (C23)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Imports","Ownership unknown","Basic metals (C24)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Imports","Ownership unknown","Fabricated metal products, except machinery and equipment (C25)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Imports","Ownership unknown","Computer, electronic and optical products (C26)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Imports","Ownership unknown","Electrical equipment (C27)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Imports","Ownership unknown","Machinery and equipment n.e.c. (C28)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Imports","Ownership unknown","Motor vehicles, trailers and semi-trailers (C29)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Imports","Ownership unknown","Other transport equipment (C30)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Imports","Ownership unknown","Furniture (C31)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Imports","Ownership unknown","Other manufacturing (C32)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Imports","Ownership unknown","Repair and installation of machinery and equipment (C33)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Imports","Ownership unknown","Electricity, gas, steam and air conditioning supply (D)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Imports","Ownership unknown","Water supply; sewerage, waste management and remediation activities (E)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Imports","Ownership unknown","Construction (F)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Imports","Ownership unknown","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Imports","Ownership unknown","Wholesale and retail trade and repair of motor vehicles and motorcycles (G45)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Imports","Ownership unknown","Wholesale trade, except of motor vehicles and motorcycles (G46)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Imports","Ownership unknown","Retail trade, except of motor vehicles and motorcycles (G47)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Imports","Ownership unknown","Transportation and storage (H)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Imports","Ownership unknown","Accommodation and Food and Other Services (I, OTU)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Imports","Ownership unknown","Information and communication (J)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Imports","Ownership unknown","Financial and insurance activities (K)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Imports","Ownership unknown","Real estate activities (L)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Imports","Ownership unknown","Professional, scientific and technical activities (M)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Imports","Ownership unknown","Administrative and support service activities (N)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Imports","Ownership unknown","Unknown","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Imports","Ownership unknown","Total Trade in Goods","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Imports","Total - All Ownership Types","Agriculture, forestry and fishing (A)","Euro Thousand","255627.463"
"Value","2021","Total Trade in Goods","Imports","Total - All Ownership Types","Agriculture, Forestry & Fishing, Construction and Services, excluding Retail & Wholesale (A, F, H -U)","Euro Thousand","22655731.113"
"Value","2021","Total Trade in Goods","Imports","Total - All Ownership Types","Mining and quarrying (B)","Euro Thousand",""
"Value","2021","Total Trade in Goods","Imports","Total - All Ownership Types","Industry (B - E)","Euro Thousand","39911746.402"
"Value","2021","Total Trade in Goods","Imports","Total - All Ownership Types","Manufacturing (C)","Euro Thousand","38286195.428"
"Value","2021","Total Trade in Goods","Imports","Total - All Ownership Types","Food products (C10)","Euro Thousand","3009570.943"
"Value","2021","Total Trade in Goods","Imports","Total - All Ownership Types","Beverages (C11)","Euro Thousand","488573.29"
"Value","2021","Total Trade in Goods","Imports","Total - All Ownership Types","Tobacco products (C12)","Euro Thousand",""
"Value","2021","Total Trade in Goods","Imports","Total - All Ownership Types","Textiles (C13)","Euro Thousand","72557.817"
"Value","2021","Total Trade in Goods","Imports","Total - All Ownership Types","Wearing apparel (C14)","Euro Thousand","32277.925"
"Value","2021","Total Trade in Goods","Imports","Total - All Ownership Types","Leather and related products (C15)","Euro Thousand",""
"Value","2021","Total Trade in Goods","Imports","Total - All Ownership Types","Wood and wood products, except furniture (C16)","Euro Thousand","181025.383"
"Value","2021","Total Trade in Goods","Imports","Total - All Ownership Types","Paper and paper products (C17)","Euro Thousand","246092.78"
"Value","2021","Total Trade in Goods","Imports","Total - All Ownership Types","Printing and reproduction of recorded media (C18)","Euro Thousand","122891.636"
"Value","2021","Total Trade in Goods","Imports","Total - All Ownership Types","Coke and refined petroleum products (C19)","Euro Thousand",""
"Value","2021","Total Trade in Goods","Imports","Total - All Ownership Types","Chemicals and chemical products (C20)","Euro Thousand","7919251.407"
"Value","2021","Total Trade in Goods","Imports","Total - All Ownership Types","Basic pharmaceutical products and preparations (C21)","Euro Thousand","8969666.15"
"Value","2021","Total Trade in Goods","Imports","Total - All Ownership Types","Rubber and plastic products (C22)","Euro Thousand","995798.188"
"Value","2021","Total Trade in Goods","Imports","Total - All Ownership Types","Other non-metallic mineral products (C23)","Euro Thousand","492019.44"
"Value","2021","Total Trade in Goods","Imports","Total - All Ownership Types","Basic metals (C24)","Euro Thousand","560790.995"
"Value","2021","Total Trade in Goods","Imports","Total - All Ownership Types","Fabricated metal products, except machinery and equipment (C25)","Euro Thousand","613077.893"
"Value","2021","Total Trade in Goods","Imports","Total - All Ownership Types","Computer, electronic and optical products (C26)","Euro Thousand","6578803.197"
"Value","2021","Total Trade in Goods","Imports","Total - All Ownership Types","Electrical equipment (C27)","Euro Thousand","263269.679"
"Value","2021","Total Trade in Goods","Imports","Total - All Ownership Types","Machinery and equipment n.e.c. (C28)","Euro Thousand","1077051.97"
"Value","2021","Total Trade in Goods","Imports","Total - All Ownership Types","Motor vehicles, trailers and semi-trailers (C29)","Euro Thousand","342895.286"
"Value","2021","Total Trade in Goods","Imports","Total - All Ownership Types","Other transport equipment (C30)","Euro Thousand",""
"Value","2021","Total Trade in Goods","Imports","Total - All Ownership Types","Furniture (C31)","Euro Thousand","142628.852"
"Value","2021","Total Trade in Goods","Imports","Total - All Ownership Types","Other manufacturing (C32)","Euro Thousand","2991419.568"
"Value","2021","Total Trade in Goods","Imports","Total - All Ownership Types","Repair and installation of machinery and equipment (C33)","Euro Thousand","1580785.082"
"Value","2021","Total Trade in Goods","Imports","Total - All Ownership Types","Electricity, gas, steam and air conditioning supply (D)","Euro Thousand",""
"Value","2021","Total Trade in Goods","Imports","Total - All Ownership Types","Water supply; sewerage, waste management and remediation activities (E)","Euro Thousand",""
"Value","2021","Total Trade in Goods","Imports","Total - All Ownership Types","Construction (F)","Euro Thousand","851039.224"
"Value","2021","Total Trade in Goods","Imports","Total - All Ownership Types","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro Thousand","35257039.749"
"Value","2021","Total Trade in Goods","Imports","Total - All Ownership Types","Wholesale and retail trade and repair of motor vehicles and motorcycles (G45)","Euro Thousand","4138889.13"
"Value","2021","Total Trade in Goods","Imports","Total - All Ownership Types","Wholesale trade, except of motor vehicles and motorcycles (G46)","Euro Thousand","23644012.376"
"Value","2021","Total Trade in Goods","Imports","Total - All Ownership Types","Retail trade, except of motor vehicles and motorcycles (G47)","Euro Thousand","7474138.243"
"Value","2021","Total Trade in Goods","Imports","Total - All Ownership Types","Transportation and storage (H)","Euro Thousand",""
"Value","2021","Total Trade in Goods","Imports","Total - All Ownership Types","Accommodation and Food and Other Services (I, OTU)","Euro Thousand",""
"Value","2021","Total Trade in Goods","Imports","Total - All Ownership Types","Information and communication (J)","Euro Thousand","1535205.871"
"Value","2021","Total Trade in Goods","Imports","Total - All Ownership Types","Financial and insurance activities (K)","Euro Thousand","1915731.502"
"Value","2021","Total Trade in Goods","Imports","Total - All Ownership Types","Real estate activities (L)","Euro Thousand",""
"Value","2021","Total Trade in Goods","Imports","Total - All Ownership Types","Professional, scientific and technical activities (M)","Euro Thousand","1906672.531"
"Value","2021","Total Trade in Goods","Imports","Total - All Ownership Types","Administrative and support service activities (N)","Euro Thousand","14356115.427"
"Value","2021","Total Trade in Goods","Imports","Total - All Ownership Types","Unknown","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Imports","Total - All Ownership Types","Total Trade in Goods","Euro Thousand","97824517.264"
"Value","2021","Total Trade in Goods","Exports","Domestically controlled","Agriculture, forestry and fishing (A)","Euro Thousand","237301.658"
"Value","2021","Total Trade in Goods","Exports","Domestically controlled","Agriculture, Forestry & Fishing, Construction and Services, excluding Retail & Wholesale (A, F, H -U)","Euro Thousand","3888847.204"
"Value","2021","Total Trade in Goods","Exports","Domestically controlled","Mining and quarrying (B)","Euro Thousand",""
"Value","2021","Total Trade in Goods","Exports","Domestically controlled","Industry (B - E)","Euro Thousand","12797272.089"
"Value","2021","Total Trade in Goods","Exports","Domestically controlled","Manufacturing (C)","Euro Thousand","12570255.503"
"Value","2021","Total Trade in Goods","Exports","Domestically controlled","Food products (C10)","Euro Thousand","4035389.985"
"Value","2021","Total Trade in Goods","Exports","Domestically controlled","Beverages (C11)","Euro Thousand","235873.111"
"Value","2021","Total Trade in Goods","Exports","Domestically controlled","Tobacco products (C12)","Euro Thousand",""
"Value","2021","Total Trade in Goods","Exports","Domestically controlled","Textiles (C13)","Euro Thousand","44581.632"
"Value","2021","Total Trade in Goods","Exports","Domestically controlled","Wearing apparel (C14)","Euro Thousand","21321.931"
"Value","2021","Total Trade in Goods","Exports","Domestically controlled","Leather and related products (C15)","Euro Thousand",""
"Value","2021","Total Trade in Goods","Exports","Domestically controlled","Wood and wood products, except furniture (C16)","Euro Thousand","402672.273"
"Value","2021","Total Trade in Goods","Exports","Domestically controlled","Paper and paper products (C17)","Euro Thousand","123040.879"
"Value","2021","Total Trade in Goods","Exports","Domestically controlled","Printing and reproduction of recorded media (C18)","Euro Thousand","10854.879"
"Value","2021","Total Trade in Goods","Exports","Domestically controlled","Coke and refined petroleum products (C19)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Exports","Domestically controlled","Chemicals and chemical products (C20)","Euro Thousand","273775.491"
"Value","2021","Total Trade in Goods","Exports","Domestically controlled","Basic pharmaceutical products and preparations (C21)","Euro Thousand",""
"Value","2021","Total Trade in Goods","Exports","Domestically controlled","Rubber and plastic products (C22)","Euro Thousand","291538.336"
"Value","2021","Total Trade in Goods","Exports","Domestically controlled","Other non-metallic mineral products (C23)","Euro Thousand","239522.352"
"Value","2021","Total Trade in Goods","Exports","Domestically controlled","Basic metals (C24)","Euro Thousand","416716.592"
"Value","2021","Total Trade in Goods","Exports","Domestically controlled","Fabricated metal products, except machinery and equipment (C25)","Euro Thousand","273195.479"
"Value","2021","Total Trade in Goods","Exports","Domestically controlled","Computer, electronic and optical products (C26)","Euro Thousand","524002.751"
"Value","2021","Total Trade in Goods","Exports","Domestically controlled","Electrical equipment (C27)","Euro Thousand","100194.952"
"Value","2021","Total Trade in Goods","Exports","Domestically controlled","Machinery and equipment n.e.c. (C28)","Euro Thousand","829943.554"
"Value","2021","Total Trade in Goods","Exports","Domestically controlled","Motor vehicles, trailers and semi-trailers (C29)","Euro Thousand","105358.711"
"Value","2021","Total Trade in Goods","Exports","Domestically controlled","Other transport equipment (C30)","Euro Thousand","14701.341"
"Value","2021","Total Trade in Goods","Exports","Domestically controlled","Furniture (C31)","Euro Thousand","31388.437"
"Value","2021","Total Trade in Goods","Exports","Domestically controlled","Other manufacturing (C32)","Euro Thousand","2620891.032"
"Value","2021","Total Trade in Goods","Exports","Domestically controlled","Repair and installation of machinery and equipment (C33)","Euro Thousand","400325.489"
"Value","2021","Total Trade in Goods","Exports","Domestically controlled","Electricity, gas, steam and air conditioning supply (D)","Euro Thousand",""
"Value","2021","Total Trade in Goods","Exports","Domestically controlled","Water supply; sewerage, waste management and remediation activities (E)","Euro Thousand",""
"Value","2021","Total Trade in Goods","Exports","Domestically controlled","Construction (F)","Euro Thousand","74129.377"
"Value","2021","Total Trade in Goods","Exports","Domestically controlled","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro Thousand","5989400.902"
"Value","2021","Total Trade in Goods","Exports","Domestically controlled","Wholesale and retail trade and repair of motor vehicles and motorcycles (G45)","Euro Thousand","141896.262"
"Value","2021","Total Trade in Goods","Exports","Domestically controlled","Wholesale trade, except of motor vehicles and motorcycles (G46)","Euro Thousand","5427274.109"
"Value","2021","Total Trade in Goods","Exports","Domestically controlled","Retail trade, except of motor vehicles and motorcycles (G47)","Euro Thousand","420230.531"
"Value","2021","Total Trade in Goods","Exports","Domestically controlled","Transportation and storage (H)","Euro Thousand",""
"Value","2021","Total Trade in Goods","Exports","Domestically controlled","Accommodation and Food and Other Services (I, OTU)","Euro Thousand",""
"Value","2021","Total Trade in Goods","Exports","Domestically controlled","Information and communication (J)","Euro Thousand","333021.31"
"Value","2021","Total Trade in Goods","Exports","Domestically controlled","Financial and insurance activities (K)","Euro Thousand","1292472.159"
"Value","2021","Total Trade in Goods","Exports","Domestically controlled","Real estate activities (L)","Euro Thousand",""
"Value","2021","Total Trade in Goods","Exports","Domestically controlled","Professional, scientific and technical activities (M)","Euro Thousand","676617.603"
"Value","2021","Total Trade in Goods","Exports","Domestically controlled","Administrative and support service activities (N)","Euro Thousand","257279.478"
"Value","2021","Total Trade in Goods","Exports","Domestically controlled","Unknown","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Exports","Domestically controlled","Total Trade in Goods","Euro Thousand","22675520.195"
"Value","2021","Total Trade in Goods","Exports","Of which - Domestically controlled with own affiliates abroad","Agriculture, forestry and fishing (A)","Euro Thousand",""
"Value","2021","Total Trade in Goods","Exports","Of which - Domestically controlled with own affiliates abroad","Agriculture, Forestry & Fishing, Construction and Services, excluding Retail & Wholesale (A, F, H -U)","Euro Thousand",""
"Value","2021","Total Trade in Goods","Exports","Of which - Domestically controlled with own affiliates abroad","Mining and quarrying (B)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Exports","Of which - Domestically controlled with own affiliates abroad","Industry (B - E)","Euro Thousand","1191619.052"
"Value","2021","Total Trade in Goods","Exports","Of which - Domestically controlled with own affiliates abroad","Manufacturing (C)","Euro Thousand",""
"Value","2021","Total Trade in Goods","Exports","Of which - Domestically controlled with own affiliates abroad","Food products (C10)","Euro Thousand","516386.382"
"Value","2021","Total Trade in Goods","Exports","Of which - Domestically controlled with own affiliates abroad","Beverages (C11)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Exports","Of which - Domestically controlled with own affiliates abroad","Tobacco products (C12)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Exports","Of which - Domestically controlled with own affiliates abroad","Textiles (C13)","Euro Thousand",""
"Value","2021","Total Trade in Goods","Exports","Of which - Domestically controlled with own affiliates abroad","Wearing apparel (C14)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Exports","Of which - Domestically controlled with own affiliates abroad","Leather and related products (C15)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Exports","Of which - Domestically controlled with own affiliates abroad","Wood and wood products, except furniture (C16)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Exports","Of which - Domestically controlled with own affiliates abroad","Paper and paper products (C17)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Exports","Of which - Domestically controlled with own affiliates abroad","Printing and reproduction of recorded media (C18)","Euro Thousand",""
"Value","2021","Total Trade in Goods","Exports","Of which - Domestically controlled with own affiliates abroad","Coke and refined petroleum products (C19)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Exports","Of which - Domestically controlled with own affiliates abroad","Chemicals and chemical products (C20)","Euro Thousand",""
"Value","2021","Total Trade in Goods","Exports","Of which - Domestically controlled with own affiliates abroad","Basic pharmaceutical products and preparations (C21)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Exports","Of which - Domestically controlled with own affiliates abroad","Rubber and plastic products (C22)","Euro Thousand","20228.889"
"Value","2021","Total Trade in Goods","Exports","Of which - Domestically controlled with own affiliates abroad","Other non-metallic mineral products (C23)","Euro Thousand",""
"Value","2021","Total Trade in Goods","Exports","Of which - Domestically controlled with own affiliates abroad","Basic metals (C24)","Euro Thousand",""
"Value","2021","Total Trade in Goods","Exports","Of which - Domestically controlled with own affiliates abroad","Fabricated metal products, except machinery and equipment (C25)","Euro Thousand","1368.387"
"Value","2021","Total Trade in Goods","Exports","Of which - Domestically controlled with own affiliates abroad","Computer, electronic and optical products (C26)","Euro Thousand",""
"Value","2021","Total Trade in Goods","Exports","Of which - Domestically controlled with own affiliates abroad","Electrical equipment (C27)","Euro Thousand",""
"Value","2021","Total Trade in Goods","Exports","Of which - Domestically controlled with own affiliates abroad","Machinery and equipment n.e.c. (C28)","Euro Thousand",""
"Value","2021","Total Trade in Goods","Exports","Of which - Domestically controlled with own affiliates abroad","Motor vehicles, trailers and semi-trailers (C29)","Euro Thousand","28197.671"
"Value","2021","Total Trade in Goods","Exports","Of which - Domestically controlled with own affiliates abroad","Other transport equipment (C30)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Exports","Of which - Domestically controlled with own affiliates abroad","Furniture (C31)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Exports","Of which - Domestically controlled with own affiliates abroad","Other manufacturing (C32)","Euro Thousand",""
"Value","2021","Total Trade in Goods","Exports","Of which - Domestically controlled with own affiliates abroad","Repair and installation of machinery and equipment (C33)","Euro Thousand",""
"Value","2021","Total Trade in Goods","Exports","Of which - Domestically controlled with own affiliates abroad","Electricity, gas, steam and air conditioning supply (D)","Euro Thousand",""
"Value","2021","Total Trade in Goods","Exports","Of which - Domestically controlled with own affiliates abroad","Water supply; sewerage, waste management and remediation activities (E)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Exports","Of which - Domestically controlled with own affiliates abroad","Construction (F)","Euro Thousand",""
"Value","2021","Total Trade in Goods","Exports","Of which - Domestically controlled with own affiliates abroad","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro Thousand",""
"Value","2021","Total Trade in Goods","Exports","Of which - Domestically controlled with own affiliates abroad","Wholesale and retail trade and repair of motor vehicles and motorcycles (G45)","Euro Thousand",""
"Value","2021","Total Trade in Goods","Exports","Of which - Domestically controlled with own affiliates abroad","Wholesale trade, except of motor vehicles and motorcycles (G46)","Euro Thousand",""
"Value","2021","Total Trade in Goods","Exports","Of which - Domestically controlled with own affiliates abroad","Retail trade, except of motor vehicles and motorcycles (G47)","Euro Thousand",""
"Value","2021","Total Trade in Goods","Exports","Of which - Domestically controlled with own affiliates abroad","Transportation and storage (H)","Euro Thousand",""
"Value","2021","Total Trade in Goods","Exports","Of which - Domestically controlled with own affiliates abroad","Accommodation and Food and Other Services (I, OTU)","Euro Thousand",""
"Value","2021","Total Trade in Goods","Exports","Of which - Domestically controlled with own affiliates abroad","Information and communication (J)","Euro Thousand","2159.059"
"Value","2021","Total Trade in Goods","Exports","Of which - Domestically controlled with own affiliates abroad","Financial and insurance activities (K)","Euro Thousand","263963.352"
"Value","2021","Total Trade in Goods","Exports","Of which - Domestically controlled with own affiliates abroad","Real estate activities (L)","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Exports","Of which - Domestically controlled with own affiliates abroad","Professional, scientific and technical activities (M)","Euro Thousand",""
"Value","2021","Total Trade in Goods","Exports","Of which - Domestically controlled with own affiliates abroad","Administrative and support service activities (N)","Euro Thousand",""
"Value","2021","Total Trade in Goods","Exports","Of which - Domestically controlled with own affiliates abroad","Unknown","Euro Thousand","0"
"Value","2021","Total Trade in Goods","Exports","Of which - Domestically controlled with own affiliates abroad","Total Trade in Goods","Euro Thousand","2859194.819"
"Value","2021","Total Trade in Goods","Exports","Of which - Domestically controlled without own affiliates abroad","Agriculture, forestry and fishing (A)","Euro Thousand",""
"Value","2021","Total Trade in Goods","Exports","Of which - Domestically controlled without own affiliates abroad","Agriculture, Forestry & Fishing, Construction and Services, excluding Retail & Wholesale (A, F, H -U)","Euro Thousand",""
"Value","2021","Total Trade in Goods","Exports","Of which - Domestically controlled without own affiliates abroad","Mining and quarrying (B)","Euro Thousand",""
"Value","2021","Total Trade in Goods","Exports","Of which - Domestically controlled without own affiliates abroad","Industry (B - E)","Euro Thousand","11605653.037"
"Value","2021","Total Trade in Goods","Exports","Of which - Domestically controlled without own affiliates abroad","Manufacturing (C)","Euro Thousand",""
"Value","2021","Total Trade in Goods","Exports","Of which - Domestically controlled without own affiliates abroad","Food products (C10)","Euro Thousand","3519003.603"
"Value","2021","Total Trade in Goods","Exports","Of which - Domestically controlled without own affiliates abroad","Beverages (C11)","Euro Thousand","235873.111"
"Value","2021","Total Trade in Goods","Exports","Of which - Domestically controlled without own affiliates abroad","Tobacco products (C12)","Euro Thousand",""
"Value","2021","Total Trade in Goods","Exports","Of which - Domestically controlled without own affiliates abroad","Textiles (C13)","Euro Thousand",""
