Year,Partner Region,Trade Flow,Type of Ownership,NACE Rev 2 Activity,VALUE
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,"Wood and wood products, except furniture (C16)",
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,Paper and paper products (C17),46802.87
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,Printing and reproduction of recorded media (C18),
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,Coke and refined petroleum products (C19),
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,Chemicals and chemical products (C20),
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,Basic pharmaceutical products and preparations (C21),153937.586
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,Rubber and plastic products (C22),
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,Other non-metallic mineral products (C23),
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,Basic metals (C24),
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,"Fabricated metal products, except machinery and equipment (C25)",
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,"Computer, electronic and optical products (C26)",
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,Electrical equipment (C27),
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,Machinery and equipment n.e.c. (C28),
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,"Motor vehicles, trailers and semi-trailers (C29)",
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,Other transport equipment (C30),4018.097
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,Furniture (C31),16797.677
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,Other manufacturing (C32),
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,Repair and installation of machinery and equipment (C33),
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,"Electricity, gas, steam and air conditioning supply (D)",
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,"Water supply; sewerage, waste management and remediation activities (E)",
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,Construction (F),190071.373
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),5017917.765
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,Wholesale and retail trade and repair of motor vehicles and motorcycles (G45),
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,"Wholesale trade, except of motor vehicles and motorcycles (G46)",3452867.581
