Year,Partner Region,Trade Flow,Product,NACE Rev 2 Activity,VALUE
2020,EU27 countries (from 2020),Imports,Paper and paper products (C17),Beverages (C11),6910.934
2020,EU27 countries (from 2020),Imports,Paper and paper products (C17),Paper and paper products (C17),52852.91
2020,EU27 countries (from 2020),Imports,Paper and paper products (C17),Printing and reproduction of recorded media (C18),5488.963
2020,EU27 countries (from 2020),Imports,Paper and paper products (C17),Basic pharmaceutical products and preparations (C21),8132.491
2020,EU27 countries (from 2020),Imports,Paper and paper products (C17),Rubber and plastic products (C22),2970.621
2020,EU27 countries (from 2020),Imports,Paper and paper products (C17),Other non-metallic mineral products (C23),7237.001
2020,EU27 countries (from 2020),Imports,Paper and paper products (C17),"Fabricated metal products, except machinery and equipment (C25)",136.812
2020,EU27 countries (from 2020),Imports,Paper and paper products (C17),Machinery and equipment n.e.c. (C28),1368.07
2020,EU27 countries (from 2020),Imports,Paper and paper products (C17),Other manufacturing (C32),7542.475
2020,EU27 countries (from 2020),Imports,Paper and paper products (C17),Wholesale and retail trade and repair of motor vehicles and motorcycles (G45),57.133
2020,EU27 countries (from 2020),Imports,Paper and paper products (C17),"Wholesale trade, except of motor vehicles and motorcycles (G46)",86146.364
2020,EU27 countries (from 2020),Imports,Paper and paper products (C17),"Retail trade, except of motor vehicles and motorcycles (G47)",33647.346
2020,EU27 countries (from 2020),Imports,Paper and paper products (C17),Information and communication (J),3312.86
2020,EU27 countries (from 2020),Imports,Paper and paper products (C17),Financial and insurance activities (K),33975.717
2020,EU27 countries (from 2020),Imports,Paper and paper products (C17),"Professional, scientific and technical activities (M)",2985.833
2020,EU27 countries (from 2020),Imports,Paper and paper products (C17),Administrative and support service activities (N),16860.235
2020,EU27 countries (from 2020),Imports,Coke and refined petroleum products (C19),"Wholesale trade, except of motor vehicles and motorcycles (G46)",139213.61
2020,EU27 countries (from 2020),Imports,Chemicals and chemical products (C20),Food products (C10),150562.401
2020,EU27 countries (from 2020),Imports,Chemicals and chemical products (C20),Beverages (C11),9028.377
2020,EU27 countries (from 2020),Imports,Chemicals and chemical products (C20),Textiles (C13),4565.871
2020,EU27 countries (from 2020),Imports,Chemicals and chemical products (C20),"Wood and wood products, except furniture (C16)",10603.87
2020,EU27 countries (from 2020),Imports,Chemicals and chemical products (C20),Paper and paper products (C17),2346.82
2020,EU27 countries (from 2020),Imports,Chemicals and chemical products (C20),Printing and reproduction of recorded media (C18),661.916
2020,EU27 countries (from 2020),Imports,Chemicals and chemical products (C20),Basic pharmaceutical products and preparations (C21),806389.118
2020,EU27 countries (from 2020),Imports,Chemicals and chemical products (C20),Rubber and plastic products (C22),121618.437
2020,EU27 countries (from 2020),Imports,Chemicals and chemical products (C20),Other non-metallic mineral products (C23),33425.481
2020,EU27 countries (from 2020),Imports,Chemicals and chemical products (C20),Electrical equipment (C27),7340.743
2020,EU27 countries (from 2020),Imports,Chemicals and chemical products (C20),"Motor vehicles, trailers and semi-trailers (C29)",6970.729
2020,EU27 countries (from 2020),Imports,Chemicals and chemical products (C20),Other manufacturing (C32),46698.529
2020,EU27 countries (from 2020),Imports,Chemicals and chemical products (C20),Repair and installation of machinery and equipment (C33),2522.623
2020,EU27 countries (from 2020),Imports,Chemicals and chemical products (C20),Wholesale and retail trade and repair of motor vehicles and motorcycles (G45),2862.149
2020,EU27 countries (from 2020),Imports,Chemicals and chemical products (C20),"Wholesale trade, except of motor vehicles and motorcycles (G46)",611334.989
2020,EU27 countries (from 2020),Imports,Chemicals and chemical products (C20),"Retail trade, except of motor vehicles and motorcycles (G47)",134907.794
2020,EU27 countries (from 2020),Imports,Chemicals and chemical products (C20),Transportation and storage (H),2225.576
2020,EU27 countries (from 2020),Imports,Chemicals and chemical products (C20),Information and communication (J),4567.583
2020,EU27 countries (from 2020),Imports,Chemicals and chemical products (C20),Financial and insurance activities (K),117458.332
2020,EU27 countries (from 2020),Imports,Chemicals and chemical products (C20),"Professional, scientific and technical activities (M)",29444.928
2020,EU27 countries (from 2020),Imports,Basic pharmaceutical products and pharmaceutical preparations (C21),Food products (C10),52127.934
2020,EU27 countries (from 2020),Imports,Basic pharmaceutical products and pharmaceutical preparations (C21),Basic pharmaceutical products and preparations (C21),2079017.679
2020,EU27 countries (from 2020),Imports,Basic pharmaceutical products and pharmaceutical preparations (C21),"Wholesale trade, except of motor vehicles and motorcycles (G46)",1490807.048
2020,EU27 countries (from 2020),Imports,Basic pharmaceutical products and pharmaceutical preparations (C21),Financial and insurance activities (K),3043.479
2020,EU27 countries (from 2020),Imports,Rubber and plastic products (C22),"Agriculture, forestry and fishing (A)",2820.734
2020,EU27 countries (from 2020),Imports,Rubber and plastic products (C22),Food products (C10),25907.104
2020,EU27 countries (from 2020),Imports,Rubber and plastic products (C22),Beverages (C11),2677.345
2020,EU27 countries (from 2020),Imports,Rubber and plastic products (C22),Textiles (C13),2042.954
2020,EU27 countries (from 2020),Imports,Rubber and plastic products (C22),"Wood and wood products, except furniture (C16)",775.458
2020,EU27 countries (from 2020),Imports,Rubber and plastic products (C22),Paper and paper products (C17),7947.31
2020,EU27 countries (from 2020),Imports,Rubber and plastic products (C22),Chemicals and chemical products (C20),17081.027
2020,EU27 countries (from 2020),Imports,Rubber and plastic products (C22),Basic pharmaceutical products and preparations (C21),80000.615
2020,EU27 countries (from 2020),Imports,Rubber and plastic products (C22),Rubber and plastic products (C22),58018.805
2020,EU27 countries (from 2020),Imports,Rubber and plastic products (C22),Other non-metallic mineral products (C23),5991.87
2020,EU27 countries (from 2020),Imports,Rubber and plastic products (C22),Basic metals (C24),1020.647
2020,EU27 countries (from 2020),Imports,Rubber and plastic products (C22),"Fabricated metal products, except machinery and equipment (C25)",10002.352
2020,EU27 countries (from 2020),Imports,Rubber and plastic products (C22),"Computer, electronic and optical products (C26)",13265.917
2020,EU27 countries (from 2020),Imports,Rubber and plastic products (C22),Electrical equipment (C27),4249.288
2020,EU27 countries (from 2020),Imports,Rubber and plastic products (C22),Machinery and equipment n.e.c. (C28),19042.577
2020,EU27 countries (from 2020),Imports,Rubber and plastic products (C22),"Motor vehicles, trailers and semi-trailers (C29)",3171.654
2020,EU27 countries (from 2020),Imports,Rubber and plastic products (C22),Furniture (C31),1318.02
2020,EU27 countries (from 2020),Imports,Rubber and plastic products (C22),Other manufacturing (C32),31152.021
2020,EU27 countries (from 2020),Imports,Rubber and plastic products (C22),Repair and installation of machinery and equipment (C33),495.194
2020,EU27 countries (from 2020),Imports,Rubber and plastic products (C22),"Water supply; sewerage, waste management and remediation activities (E)",1854.779
2020,EU27 countries (from 2020),Imports,Rubber and plastic products (C22),Construction (F),6971.884
2020,EU27 countries (from 2020),Imports,Rubber and plastic products (C22),Wholesale and retail trade and repair of motor vehicles and motorcycles (G45),39348.213
2020,EU27 countries (from 2020),Imports,Rubber and plastic products (C22),"Wholesale trade, except of motor vehicles and motorcycles (G46)",230701.832
2020,EU27 countries (from 2020),Imports,Rubber and plastic products (C22),"Retail trade, except of motor vehicles and motorcycles (G47)",33575.678
2020,EU27 countries (from 2020),Imports,Rubber and plastic products (C22),Transportation and storage (H),3780.445
2020,EU27 countries (from 2020),Imports,Rubber and plastic products (C22),Information and communication (J),668.705
2020,EU27 countries (from 2020),Imports,Rubber and plastic products (C22),Financial and insurance activities (K),9352.908
2020,EU27 countries (from 2020),Imports,Rubber and plastic products (C22),"Professional, scientific and technical activities (M)",11680.292
2020,EU27 countries (from 2020),Imports,Rubber and plastic products (C22),Administrative and support service activities (N),33256.81
2020,EU27 countries (from 2020),Imports,Other non-metallic mineral products (C23),Food products (C10),558.085
2020,EU27 countries (from 2020),Imports,Other non-metallic mineral products (C23),Beverages (C11),5204.171
2020,EU27 countries (from 2020),Imports,Other non-metallic mineral products (C23),Chemicals and chemical products (C20),2386.998
2020,EU27 countries (from 2020),Imports,Other non-metallic mineral products (C23),Basic pharmaceutical products and preparations (C21),11218.006
2020,EU27 countries (from 2020),Imports,Other non-metallic mineral products (C23),Rubber and plastic products (C22),2691.996
2020,EU27 countries (from 2020),Imports,Other non-metallic mineral products (C23),Other non-metallic mineral products (C23),12290.996
2020,EU27 countries (from 2020),Imports,Other non-metallic mineral products (C23),"Fabricated metal products, except machinery and equipment (C25)",6876.717
2020,EU27 countries (from 2020),Imports,Other non-metallic mineral products (C23),Machinery and equipment n.e.c. (C28),4551.432
2020,EU27 countries (from 2020),Imports,Other non-metallic mineral products (C23),Other manufacturing (C32),1362.233
2020,EU27 countries (from 2020),Imports,Other non-metallic mineral products (C23),Repair and installation of machinery and equipment (C33),126.636
2020,EU27 countries (from 2020),Imports,Other non-metallic mineral products (C23),Construction (F),10185.986
2020,EU27 countries (from 2020),Imports,Other non-metallic mineral products (C23),Wholesale and retail trade and repair of motor vehicles and motorcycles (G45),2004.456
2020,EU27 countries (from 2020),Imports,Other non-metallic mineral products (C23),"Wholesale trade, except of motor vehicles and motorcycles (G46)",100284.887
2020,EU27 countries (from 2020),Imports,Other non-metallic mineral products (C23),"Retail trade, except of motor vehicles and motorcycles (G47)",44936.088
2020,EU27 countries (from 2020),Imports,Other non-metallic mineral products (C23),Financial and insurance activities (K),942.465
2020,EU27 countries (from 2020),Imports,Other non-metallic mineral products (C23),"Professional, scientific and technical activities (M)",1989.408
2020,EU27 countries (from 2020),Imports,Other non-metallic mineral products (C23),Administrative and support service activities (N),1317.134
2020,EU27 countries (from 2020),Imports,Basic metals (C24),Basic pharmaceutical products and preparations (C21),7484.236
2020,EU27 countries (from 2020),Imports,Basic metals (C24),Rubber and plastic products (C22),3013.527
2020,EU27 countries (from 2020),Imports,Basic metals (C24),Other non-metallic mineral products (C23),1902.958
2020,EU27 countries (from 2020),Imports,Basic metals (C24),Basic metals (C24),38953.2
2020,EU27 countries (from 2020),Imports,Basic metals (C24),"Fabricated metal products, except machinery and equipment (C25)",49019.636
2020,EU27 countries (from 2020),Imports,Basic metals (C24),"Computer, electronic and optical products (C26)",1322.304
2020,EU27 countries (from 2020),Imports,Basic metals (C24),Electrical equipment (C27),29225.276
2020,EU27 countries (from 2020),Imports,Basic metals (C24),Machinery and equipment n.e.c. (C28),29300.608
2020,EU27 countries (from 2020),Imports,Basic metals (C24),"Motor vehicles, trailers and semi-trailers (C29)",7852.492
2020,EU27 countries (from 2020),Imports,Basic metals (C24),Other manufacturing (C32),18592.302
2020,EU27 countries (from 2020),Imports,Basic metals (C24),Repair and installation of machinery and equipment (C33),722.773
2020,EU27 countries (from 2020),Imports,Basic metals (C24),"Water supply; sewerage, waste management and remediation activities (E)",42.444
2020,EU27 countries (from 2020),Imports,Basic metals (C24),Construction (F),10141.365
2020,EU27 countries (from 2020),Imports,Basic metals (C24),Wholesale and retail trade and repair of motor vehicles and motorcycles (G45),541.641
