Year,Partner Region,Trade Flow,Type of Ownership,NACE Rev 2 Activity,VALUE
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,Basic metals (C24),
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,"Fabricated metal products, except machinery and equipment (C25)",
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,"Computer, electronic and optical products (C26)",
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,Electrical equipment (C27),
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,Machinery and equipment n.e.c. (C28),
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,"Motor vehicles, trailers and semi-trailers (C29)",
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,Other transport equipment (C30),22.0
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,Furniture (C31),189.0
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,Other manufacturing (C32),
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,Repair and installation of machinery and equipment (C33),268.0
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,"Electricity, gas, steam and air conditioning supply (D)",
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,"Water supply; sewerage, waste management and remediation activities (E)",103.0
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,Construction (F),1917.0
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),9760.0
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,Wholesale and retail trade and repair of motor vehicles and motorcycles (G45),
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,"Wholesale trade, except of motor vehicles and motorcycles (G46)",3715.0
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,"Retail trade, except of motor vehicles and motorcycles (G47)",
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,Transportation and storage (H),
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,"Accommodation and Food and Other Services (I, OTU)",
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,Information and communication (J),
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,Financial and insurance activities (K),102.0
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,Real estate activities (L),
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,"Professional, scientific and technical activities (M)",
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,Administrative and support service activities (N),
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,Unknown,0.0
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,Total Trade in Goods,20762.0
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,"Agriculture, forestry and fishing (A)",
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,"Agriculture, Forestry & Fishing, Construction and Services, excluding Retail & Wholesale (A, F, H -U)",38.0
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Mining and quarrying (B),0.0
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Industry (B - E),32.0
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Manufacturing (C),
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Food products (C10),5.0
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Beverages (C11),0.0
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Tobacco products (C12),0.0
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Textiles (C13),
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Wearing apparel (C14),0.0
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Leather and related products (C15),0.0
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,"Wood and wood products, except furniture (C16)",0.0
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Paper and paper products (C17),0.0
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Printing and reproduction of recorded media (C18),
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Coke and refined petroleum products (C19),0.0
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Chemicals and chemical products (C20),
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Basic pharmaceutical products and preparations (C21),0.0
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Rubber and plastic products (C22),
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Other non-metallic mineral products (C23),
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Basic metals (C24),
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,"Fabricated metal products, except machinery and equipment (C25)",
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,"Computer, electronic and optical products (C26)",
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Electrical equipment (C27),
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Machinery and equipment n.e.c. (C28),
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,"Motor vehicles, trailers and semi-trailers (C29)",
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Other transport equipment (C30),0.0
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Furniture (C31),0.0
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Other manufacturing (C32),
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Repair and installation of machinery and equipment (C33),0.0
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,"Electricity, gas, steam and air conditioning supply (D)",
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,"Water supply; sewerage, waste management and remediation activities (E)",0.0
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Construction (F),10.0
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),41.0
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Wholesale and retail trade and repair of motor vehicles and motorcycles (G45),
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,"Wholesale trade, except of motor vehicles and motorcycles (G46)",34.0
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,"Retail trade, except of motor vehicles and motorcycles (G47)",
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Transportation and storage (H),
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,"Accommodation and Food and Other Services (I, OTU)",
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Information and communication (J),
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Financial and insurance activities (K),6.0
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Real estate activities (L),0.0
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,"Professional, scientific and technical activities (M)",
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Administrative and support service activities (N),
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Unknown,0.0
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Total Trade in Goods,111.0
2020,EU27 countries (from 2020),Imports,Foreign controlled,"Agriculture, forestry and fishing (A)",
2020,EU27 countries (from 2020),Imports,Foreign controlled,"Agriculture, Forestry & Fishing, Construction and Services, excluding Retail & Wholesale (A, F, H -U)",589.0
2020,EU27 countries (from 2020),Imports,Foreign controlled,Mining and quarrying (B),
2020,EU27 countries (from 2020),Imports,Foreign controlled,Industry (B - E),451.0
2020,EU27 countries (from 2020),Imports,Foreign controlled,Manufacturing (C),432.0
2020,EU27 countries (from 2020),Imports,Foreign controlled,Food products (C10),51.0
2020,EU27 countries (from 2020),Imports,Foreign controlled,Beverages (C11),14.0
2020,EU27 countries (from 2020),Imports,Foreign controlled,Tobacco products (C12),0.0
2020,EU27 countries (from 2020),Imports,Foreign controlled,Textiles (C13),10.0
2020,EU27 countries (from 2020),Imports,Foreign controlled,Wearing apparel (C14),0.0
2020,EU27 countries (from 2020),Imports,Foreign controlled,Leather and related products (C15),
2020,EU27 countries (from 2020),Imports,Foreign controlled,"Wood and wood products, except furniture (C16)",5.0
2020,EU27 countries (from 2020),Imports,Foreign controlled,Paper and paper products (C17),12.0
2020,EU27 countries (from 2020),Imports,Foreign controlled,Printing and reproduction of recorded media (C18),9.0
2020,EU27 countries (from 2020),Imports,Foreign controlled,Coke and refined petroleum products (C19),
2020,EU27 countries (from 2020),Imports,Foreign controlled,Chemicals and chemical products (C20),41.0
2020,EU27 countries (from 2020),Imports,Foreign controlled,Basic pharmaceutical products and preparations (C21),46.0
2020,EU27 countries (from 2020),Imports,Foreign controlled,Rubber and plastic products (C22),33.0
2020,EU27 countries (from 2020),Imports,Foreign controlled,Other non-metallic mineral products (C23),13.0
2020,EU27 countries (from 2020),Imports,Foreign controlled,Basic metals (C24),8.0
2020,EU27 countries (from 2020),Imports,Foreign controlled,"Fabricated metal products, except machinery and equipment (C25)",24.0
2020,EU27 countries (from 2020),Imports,Foreign controlled,"Computer, electronic and optical products (C26)",31.0
2020,EU27 countries (from 2020),Imports,Foreign controlled,Electrical equipment (C27),16.0
2020,EU27 countries (from 2020),Imports,Foreign controlled,Machinery and equipment n.e.c. (C28),33.0
2020,EU27 countries (from 2020),Imports,Foreign controlled,"Motor vehicles, trailers and semi-trailers (C29)",5.0
2020,EU27 countries (from 2020),Imports,Foreign controlled,Other transport equipment (C30),
2020,EU27 countries (from 2020),Imports,Foreign controlled,Furniture (C31),
2020,EU27 countries (from 2020),Imports,Foreign controlled,Other manufacturing (C32),51.0
2020,EU27 countries (from 2020),Imports,Foreign controlled,Repair and installation of machinery and equipment (C33),22.0
2020,EU27 countries (from 2020),Imports,Foreign controlled,"Electricity, gas, steam and air conditioning supply (D)",
2020,EU27 countries (from 2020),Imports,Foreign controlled,"Water supply; sewerage, waste management and remediation activities (E)",13.0
2020,EU27 countries (from 2020),Imports,Foreign controlled,Construction (F),65.0
2020,EU27 countries (from 2020),Imports,Foreign controlled,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),719.0
2020,EU27 countries (from 2020),Imports,Foreign controlled,Wholesale and retail trade and repair of motor vehicles and motorcycles (G45),40.0
2020,EU27 countries (from 2020),Imports,Foreign controlled,"Wholesale trade, except of motor vehicles and motorcycles (G46)",507.0
2020,EU27 countries (from 2020),Imports,Foreign controlled,"Retail trade, except of motor vehicles and motorcycles (G47)",172.0
2020,EU27 countries (from 2020),Imports,Foreign controlled,Transportation and storage (H),43.0
2020,EU27 countries (from 2020),Imports,Foreign controlled,"Accommodation and Food and Other Services (I, OTU)",80.0
2020,EU27 countries (from 2020),Imports,Foreign controlled,Information and communication (J),132.0
2020,EU27 countries (from 2020),Imports,Foreign controlled,Financial and insurance activities (K),61.0
2020,EU27 countries (from 2020),Imports,Foreign controlled,Real estate activities (L),
2020,EU27 countries (from 2020),Imports,Foreign controlled,"Professional, scientific and technical activities (M)",115.0
2020,EU27 countries (from 2020),Imports,Foreign controlled,Administrative and support service activities (N),74.0
2020,EU27 countries (from 2020),Imports,Foreign controlled,Unknown,0.0
2020,EU27 countries (from 2020),Imports,Foreign controlled,Total Trade in Goods,1759.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,"Agriculture, forestry and fishing (A)",0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,"Agriculture, Forestry & Fishing, Construction and Services, excluding Retail & Wholesale (A, F, H -U)",0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Mining and quarrying (B),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Industry (B - E),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Manufacturing (C),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Food products (C10),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Beverages (C11),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Tobacco products (C12),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Textiles (C13),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Wearing apparel (C14),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Leather and related products (C15),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,"Wood and wood products, except furniture (C16)",0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Paper and paper products (C17),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Printing and reproduction of recorded media (C18),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Coke and refined petroleum products (C19),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Chemicals and chemical products (C20),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Basic pharmaceutical products and preparations (C21),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Rubber and plastic products (C22),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Other non-metallic mineral products (C23),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Basic metals (C24),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,"Fabricated metal products, except machinery and equipment (C25)",0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,"Computer, electronic and optical products (C26)",0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Electrical equipment (C27),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Machinery and equipment n.e.c. (C28),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,"Motor vehicles, trailers and semi-trailers (C29)",0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Other transport equipment (C30),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Furniture (C31),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Other manufacturing (C32),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Repair and installation of machinery and equipment (C33),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,"Electricity, gas, steam and air conditioning supply (D)",0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,"Water supply; sewerage, waste management and remediation activities (E)",0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Construction (F),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Wholesale and retail trade and repair of motor vehicles and motorcycles (G45),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,"Wholesale trade, except of motor vehicles and motorcycles (G46)",0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,"Retail trade, except of motor vehicles and motorcycles (G47)",0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Transportation and storage (H),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,"Accommodation and Food and Other Services (I, OTU)",0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Information and communication (J),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Financial and insurance activities (K),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Real estate activities (L),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,"Professional, scientific and technical activities (M)",0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Administrative and support service activities (N),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Unknown,0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Total Trade in Goods,0.0
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,"Agriculture, forestry and fishing (A)",618.0
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,"Agriculture, Forestry & Fishing, Construction and Services, excluding Retail & Wholesale (A, F, H -U)",8601.0
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Mining and quarrying (B),
